"01011901DBNE,52693,1,43466,43471,Pickup,182884PI,Ram,2500,2018,45491,44984.5"
"01011901LWHK,52608,1,43466,43467,Pickup,177317PI,Ford,F-150,2018,23638,39594.5"
"01011901RAGU,52586,1,43466,43470,SUV,183161SU,Ford,Escape,2016,51245,19118"
"01011902DNPH,52647,2,43466,43470,Sedan,276566SE,Chrysler,300,2015,51469,18694.5"
"01011902QEET,52705,2,43466,43471,Sedan,275594SE,Honda,Accord,2019,15474,30640.5"
"01011903SFMP,52658,3,43466,43471,Sedan,382463SE,Ford,Focus,2018,37723,12402.5"
"01011904IOGK,52959,4,43466,43471,SUV,482236SU,Lexus,RX,2013,108696,18544.9"
"01011904LQPV,52747,4,43466,43467,Sedan,484911SE,Toyota,Camry,2018,26506,17270"
"01021901EMBD,52656,1,43467,43467,Pickup,181127PI,GMC,Sierra,2013,103001,18197.3"
"01021901ISPK,52568,1,43467,43471,SUV,176396SU,GMC,Terrain,2018,18674,25844.5"
"01021901PSVO,52636,1,43467,43470,SUV,177033SU,Lincoln,Navigator,2016,33915,41244.5"
"01021902SLIA,52413,2,43467,43469,Pickup,282321PI,Ford,F-150,2016,60982,36182.3"
"01021904LLOC,52417,4,43467,43472,Coupe,479204CO,Dodge,Challenger,2015,41698,24194.5"
"01021904ZBAX,52417,4,43467,43467,Pickup,477760PI,Ford,F-150,2016,53244,37394.5"
"01031901XMNA,52620,1,43468,43469,Sedan,183899SE,Mercedes-Benz,CLA,2016,30075,27390"
"01031902MUBL,52481,2,43468,43472,Pickup,278791PI,GMC,Sierra,2018,17442,35186.8"
"01031902OVMI,52519,2,43468,43469,Pickup,282781PI,Nissan,Frontier,2014,37697,22000"
"01031902WEWE,52413,2,43468,43468,Sedan,284613SE,Chevrolet,Cruze,2017,37351,14840.1"
"01031903JWPQ,52471,3,43468,43469,SUV,383464SU,Hyundai,Tuscon,2018,31518,19247.8"
"01031903OSDU,52777,3,43468,43470,SUV,382728SU,Jeep,Grand Cherokee,2019,15478,38489"
"01031904NTNW,52585,4,43468,43472,Sedan,479764SE,Nissan,Sentra,2016,24567,13073.5"
"01041902WVMQ,52613,2,43469,43472,Sedan,275893SE,Volkswagen,Jetta,2017,22086,12076.9"
"01041903BNIA,52798,3,43469,43471,SUV,381161SU,Chevrolet,Traverse,2019,14302,25520"
"01041903FADX,52777,3,43469,43471,Sedan,375072SE,Chrysler,200S,2017,18112,16201.9"
"01041904PKJB,52585,4,43469,43471,SUV,484557SU,Kia,Sportage,2019,37357,23097.8"
"01051901EUZR,52877,1,43470,43475,Sedan,176788SE,Honda,Accord,2014,71606,11878.9"
"01051901MVAO,52532,1,43470,43471,Sedan,177898SE,Honda,Civic,2018,31989,21876.8"
"01051901XBCB,52669,1,43470,43471,SUV,179050SU,INFINITI,Q50R,2018,30193,24858.9"
"01051902BBUC,52705,2,43470,43471,Sedan,279800SE,Nissan,Versa,2017,43122,11330"
"01051902HBNG,52663,2,43470,43470,SUV,278550SU,Hyundai,Santa Fe,2019,15129,21765.7"
"01051902ZKYL,52519,2,43470,43473,Pickup,281842PI,Ford,F-150,2015,112023,31130"
"01051903PZYK,52682,3,43470,43471,Pickup,375443PI,Ford,F-150,2015,112927,24198.9"
"01051904KMTO,52366,4,43470,43473,Pickup,479080PI,GMC,Canyon,2019,3687,31350"
"01051904YDVW,52580,4,43470,43471,Sedan,478045SE,Honda,Accord,2016,33034,16496.7"
"01061901GCQD,52860,1,43471,43474,SUV,179650SU,Chevrolet,Traverse,2018,30405,31881.3"
"01061901TZIF,52877,1,43471,43471,SUV,181946SU,Ford,Escape,2015,46133,17919"
"01061903KLVN,52658,3,43471,43474,Sedan,378622SE,Toyota,Camry,2019,6623,20894.5"
"01061903SCFO,52682,3,43471,43476,SUV,377868SU,Toyota,4Runner,2016,54393,32993.4"
"01061904GTMI,52666,4,43471,43471,SUV,481790SU,GMC,Acadia,2017,26547,38498.9"
"01061904HKEP,52366,4,43471,43475,Pickup,481197PI,Toyota,Tacoma,2016,79006,25179"
"01071901NGFR,52608,1,43472,43473,Sedan,183799SE,Mazda,Mazda3,2018,22392,21997.8"
"01071901OUPK,52568,1,43472,43476,SUV,184214SU,Toyota,4Runner,2016,30069,38709"
"01071901QFZQ,52443,1,43472,43474,Sedan,179733SE,Chevrolet,Malibu,2018,16349,20446.8"
"01071902QZDZ,52372,2,43472,43474,SUV,277534SU,Ford,Escape,2016,36756,17435"
"01071902ZQFD,52756,2,43472,43476,Sedan,279268SE,Toyota,Prius,2016,35041,17015.9"
"01071903NFFB,52577,3,43472,43477,SUV,376958SU,Ford,Escape,2015,43358,16274.5"
"01071903RVVL,52697,3,43472,43475,SUV,376858SU,Kia,Soul,2017,17928,15394.5"
"01071903UOIB,52577,3,43472,43473,Coupe,377513CO,Hyundai,Veloster,2017,39755,12864.5"
"01071903UOWF,52798,3,43472,43476,Pickup,379877PI,Chevrolet,Silverado,2018,24233,42075"
"01071903WPUD,52971,3,43472,43477,SUV,376047SU,Dodge,Durango,2016,40218,30992.5"
"01071903WSLT,52777,3,43472,43472,Sedan,381300SE,Toyota,Camry,2017,38223,16164.5"
"01071904DFVP,52951,4,43472,43474,SUV,477523SU,GMC,Acadia,2016,58102,28589"
"01071904HZRZ,52959,4,43472,43474,SUV,478902SU,Mitsubishi,Outlander,2018,17059,15276.8"
"01071904SUKX,52959,4,43472,43477,Sedan,478808SE,Mercedes-Benz,E-Class,2019,4013,56954.7"
"01071904UKZS,52580,4,43472,43476,SUV,476296SU,Ford,Edge,2015,72942,18469"
"01081901ABSP,52800,1,43473,43476,Pickup,182293PI,Chevrolet,Silverado,2016,46419,27489"
"01081901CZDF,52636,1,43473,43476,SUV,180460SU,Ford,Edge,2018,12721,26229.5"
"01081901IUNY,52532,1,43473,43478,Sedan,181530SE,Ford,Taurus,2015,39084,20873.6"
"01081901PPIG,52636,1,43473,43477,Sedan,178296SE,Volkswagen,Jetta,2015,41684,14290.1"
"01081901QMCO,52566,1,43473,43475,SUV,179269SU,Hyundai,Santa Fe,2019,36233,23540"
"01081901UDNT,52620,1,43473,43476,Sedan,177669SE,Dodge,Charger,2019,9455,42898.9"
"01081901WCDD,52566,1,43473,43477,SUV,184679SU,Ford,Explorer,2018,39666,32557.8"
"01081902CBZX,52413,2,43473,43473,SUV,276721SU,Ford,Escape,2016,21532,20395.1"
"01081902JAYC,52756,2,43473,43476,Sedan,277604SE,Lexus,IS,2014,50251,25295.6"
"01081903CKSR,52971,3,43473,43477,Sedan,381270SE,Ford,Focus,2018,46633,14196.6"
"01081903FRKN,52658,3,43473,43475,SUV,378386SU,Kia,Sportage,2018,29500,14294.5"
"01081903FVES,52495,3,43473,43475,Pickup,375031PI,Ford,F-150,2016,56398,36080"
"01081903QHQN,52798,3,43473,43475,SUV,382731SU,Ford,Escape,2016,31915,15881.8"
"01081903VSZF,52471,3,43473,43477,Coupe,382313CO,Dodge,Challenger,2019,37371,31890.1"
"01081903YNAH,52658,3,43473,43478,SUV,379932SU,Toyota,RAV4,2018,40913,22976.8"
"01081904CNUV,52951,4,43473,43475,Sedan,480566SE,Kia,Forte,2018,15373,10994.5"
"01081904IHDE,52943,4,43473,43474,SUV,478012SU,Hyundai,Santa Fe,2015,57148,20776.8"
"01081904ISOF,52366,4,43473,43474,SUV,476778SU,Ford,Escape,2018,21239,19800"
"01081904RRHG,52596,4,43473,43477,Sedan,480914SE,Chevrolet,Spark,2017,35029,10994.5"
"01081904ZMGV,52747,4,43473,43475,Pickup,484783PI,Ram,1500,2019,13490,45758.9"
"01091901MABK,52558,1,43474,43478,Pickup,179445PI,Ram,1500,2017,22995,31790"
"01091901OLJP,52568,1,43474,43477,Pickup,182402PI,Chevrolet,Silverado,2018,10811,37394.5"
"01091901PXNF,52800,1,43474,43477,SUV,176107SU,GMC,Acadia,2014,62701,19800"
"01091902DUUW,52705,2,43474,43474,SUV,277038SU,Ford,Flex,2016,27058,26764.1"
"01091902ZLGP,52372,2,43474,43476,SUV,284889SU,Subaru,Forester,2015,45778,15174.5"
"01091903VRDH,52971,3,43474,43478,Sedan,382569SE,Ford,Focus,2016,27046,12372.8"
"01091903WBRZ,52471,3,43474,43479,SUV,377460SU,Ford,Explorer,2018,31631,29542.7"
"01091904EKAO,52943,4,43474,43478,Sedan,483949SE,Dodge,Dart,2015,32859,10994.5"
"01091904ZSSK,52366,4,43474,43476,SUV,478260SU,Toyota,Highlander,2013,108320,16010.5"
"01101901HGBG,52558,1,43475,43478,SUV,178386SU,Jeep,Grand Cherokee,2017,16390,34707.2"
"01101901HWGN,52800,1,43475,43476,SUV,176826SU,Ford,Escape,2017,34559,18496.5"
"01101901PHRL,52558,1,43475,43476,Pickup,184243PI,Toyota,Tacoma,2014,40565,32998.9"
"01101901WSKO,52568,1,43475,43478,SUV,177556SU,Nissan,Pathfinder,2018,30356,28044.5"
"01101901YNYI,52877,1,43475,43476,SUV,179251SU,Jeep,Grand Cherokee,2014,57500,19789"
"01101904BQBJ,52959,4,43475,43479,Sedan,483126SE,Volkswagen,Passat,2019,19581,18689"
"01101904TFLO,52596,4,43475,43479,Sedan,480191SE,BMW,3 Series,2016,25189,27500"
"01101904WOHM,52417,4,43475,43478,Sedan,481625SE,Hyundai,Sonata,2016,34097,21264.1"
"01111901BUMV,52586,1,43476,43479,SUV,183112SU,BMW,X5,2016,20120,51676.9"
"01111901DQJD,52568,1,43476,43479,Sedan,178327SE,Hyundai,Genesis,2017,13122,32560"
"01111901RUHB,52860,1,43476,43479,Sedan,182049SE,Chevrolet,Malibu,2018,36616,14300"
"01111902RUXZ,52372,2,43476,43477,Minivan,283290MI,Dodge,Grand Caravan,2015,85650,13194.5"
"01111903DVYE,52879,3,43476,43481,Pickup,384013PI,Chevrolet,Silverado,2016,29603,31314.8"
"01111903EQZO,52879,3,43476,43476,SUV,380446SU,INFINITI,Q50,2016,40095,26180"
"01111904KJUT,52959,4,43476,43477,Sedan,482105SE,Chevrolet,Cruze,2013,65674,8797.8"
"01111904QFSU,52930,4,43476,43480,Pickup,479729PI,Ford,F-150,2018,20237,41791.2"
"01111904RJDS,52580,4,43476,43481,Sedan,484205SE,Mazda,Mazda3,2014,76597,10396.1"
"01111904UXYV,52366,4,43476,43476,Sedan,478314SE,Kia,Forte,2018,40381,14514.5"
"01121902OLYI,52519,2,43477,43480,Minivan,281858MI,Dodge,Grand Caravan,2017,29039,17985"
"01121902TFFR,52464,2,43477,43482,Minivan,277544MI,Honda,Odyessy,2014,71706,16390"
"01121903SHIL,52495,3,43477,43481,Pickup,381432PI,GMC,Sierra,2015,53853,25063.5"
"01121903SZST,52682,3,43477,43482,Sedan,381439SE,Buick,Regal,2017,16892,23097.8"
"01121904DWEB,52596,4,43477,43479,Pickup,476445PI,GMC,Sierra,2017,56905,41798.9"
"01121904WPPB,52596,4,43477,43481,Sedan,484237SE,Subaru,Impreza,2014,146513,7920"
"01131901GKDJ,52608,1,43478,43483,Pickup,183205PI,Ram,1500,2016,54600,37386.8"
"01131901JYSL,52608,1,43478,43481,SUV,177185SU,Ford,Escape,2016,30364,17468"
"01131901MFYC,52669,1,43478,43483,Sedan,182351SE,Nissan,Altima,2018,42597,24198.9"
"01131901PZYJ,52800,1,43478,43478,Sedan,175416SE,Subaru,Impreza,2018,13588,18698.9"
"01131903JVIM,52495,3,43478,43480,Sedan,382433SE,Chevrolet,Sonic,2016,63255,10224.5"
"01131904GBCF,52951,4,43478,43481,SUV,476948SU,Jeep,Compass,2018,25226,17464.7"
"01131904HPRE,52585,4,43478,43479,SUV,481550SU,Toyota,RAV4,2016,24317,19684.5"
"01131904OHYD,52943,4,43478,43483,Sedan,481179SE,Chevrolet,Malibu,2018,23337,17706.7"
"01131904USKD,52959,4,43478,43480,Sedan,477093SE,Kia,Sorento,2017,26924,20851.6"
"01141901BXKA,52860,1,43479,43479,Sedan,180933SE,Toyota,Corolla,2018,18361,15606.8"
"01141901DYIT,52586,1,43479,43480,Sedan,180994SE,Nissan,Sentra,2018,33204,13640"
"01141901ZMPR,52568,1,43479,43483,Sedan,183154SE,Hyundai,Sonata,2018,55440,15381.3"
"01141902RYLC,52756,2,43479,43479,Sedan,283105SE,Nissan,Altima,2017,31684,14291.2"
"01141902VHVE,52702,2,43479,43481,Pickup,283551PI,Chevrolet,Silverado,2016,57671,32249.8"
"01141902VVYG,52372,2,43479,43483,Sedan,277212SE,Lexus,GS,2017,15771,37393.4"
"01141903MGJI,52471,3,43479,43481,Pickup,375871PI,Ram,1500,2019,13623,31885.7"
"01141903SZQG,52682,3,43479,43481,SUV,383306SU,GMC,Yukon,2017,47962,59386.8"
"01141903WVSH,52995,3,43479,43482,SUV,375141SU,GMC,Yukon,2017,54763,43989"
"01141903YTWX,52798,3,43479,43482,SUV,378767SU,Mazda,CX-9,2016,44652,20788.9"
"01141904AQTE,52959,4,43479,43483,Sedan,481923SE,Nissan,Altima,2015,65652,14294.5"
"01141904IJLO,52747,4,43479,43481,SUV,475557SU,Chevrolet,Tahoe,2014,101327,22990"
"01141904NFDX,52366,4,43479,43484,Sedan,478865SE,Mercedes-Benz,C-Class,2017,34078,26398.9"
"01141904UCTN,52580,4,43479,43482,Minivan,482765MI,Honda,Odyessy,2018,21787,35194.5"
"01141904ZWQC,52959,4,43479,43480,Sedan,477275SE,Ford,Fusion,2016,75500,13744.5"
"01151901CMMS,52568,1,43480,43480,Sedan,180267SE,Kia,Sorento,2019,25998,23870"
"01151901NNJY,52877,1,43480,43485,Sedan,178008SE,Ford,Fusion,2015,74915,12094.5"
"01151901PFWR,52860,1,43480,43481,Sedan,180346SE,Buick,LaCrosse,2017,22528,23100"
"01151901ZRPR,52558,1,43480,43480,SUV,178180SU,Toyota,Highlander,2018,26190,41195"
"01151902DXDF,52705,2,43480,43480,Sedan,275718SE,Ford,Fusion,2018,17453,18144.5"
"01151902EGDW,52663,2,43480,43483,SUV,282041SU,Nissan,JUKE,2015,45483,17028"
"01151902EUHF,52372,2,43480,43482,Sedan,282555SE,Toyota,Corolla,2015,55925,13634.5"
"01151902MHMF,52464,2,43480,43480,SUV,279299SU,Jeep,Renegade,2018,41662,18802.3"
"01151902QGIV,52647,2,43480,43481,Pickup,282243PI,Chevrolet,Colorado,2018,29433,31894.5"
"01151903CZKT,52879,3,43480,43482,SUV,383757SU,Jeep,Wrangler,2015,51413,32935.1"
"01151903MVEG,52971,3,43480,43484,Pickup,376845PI,GMC,Sierra,2017,48670,36294.5"
"01151903PQYB,52682,3,43480,43482,SUV,379774SU,Jeep,Renegade,2019,11425,22383.9"
"01151903PUTC,52857,3,43480,43485,SUV,382091SU,Jeep,Wrangler,2016,37830,41239"
"01151903QHFQ,52697,3,43480,43482,Sedan,378347SE,Subaru,Legacy,2017,50659,18700"
"01151903TBMW,52995,3,43480,43484,SUV,381617SU,INFINITI,QX70,2017,27412,40700"
"01151903TRGE,52495,3,43480,43481,SUV,376130SU,Buick,Enclave,2015,50004,30250"
"01151903XQNT,52806,3,43480,43485,SUV,375460SU,Mazda,CX-5,2017,15256,22539"
"01151904BDDW,52666,4,43480,43480,SUV,483706SU,Ford,Edge,2016,64207,26290"
